old,new
"http://www.flying-scot.co.uk/frame_pages/frame_165c.html","https://www.flying-scot.com/frame_pages/frame_165c.html"
"http://www.flying-scot.co.uk/frame_pages/frame_1930.html","https://www.flying-scot.com/frame_pages/frame_1930.html"
"http://www.flying-scot.co.uk/frame_pages/frame_222g.html","https://www.flying-scot.com/frame_pages/frame_222g.html"
"http://www.flying-scot.co.uk/frame_pages/frame_230l.html","https://www.flying-scot.com/frame_pages/frame_230l.html"
"http://www.flying-scot.co.uk/frame_pages/frame_23447.html","https://www.flying-scot.com/frame_pages/frame_23447.html"
"http://www.flying-scot.co.uk/frame_pages/frame_347j.html","https://www.flying-scot.com/frame_pages/frame_347j.html"
"http://www.flying-scot.co.uk/frame_pages/frame_353h.html","https://www.flying-scot.com/frame_pages/frame_353h.html"
"http://www.flying-scot.co.uk/frame_pages/frame_3638.html","https://www.flying-scot.com/frame_pages/frame_3638.html"
"http://www.flying-scot.co.uk/frame_pages/frame_444b.html","https://www.flying-scot.com/frame_pages/frame_444b.html"
"http://www.flying-scot.co.uk/frame_pages/frame_4486.html","https://www.flying-scot.com/frame_pages/frame_4486.html"
"http://www.flying-scot.co.uk/frame_pages/frame_455k.html","https://www.flying-scot.com/frame_pages/frame_455k.html"
"http://www.flying-scot.co.uk/frame_pages/frame_492r.html","https://www.flying-scot.com/frame_pages/frame_492r.html"
"http://www.flying-scot.co.uk/frame_pages/frame_69h.html","https://www.flying-scot.com/frame_pages/frame_69h.html"
"http://www.flying-scot.co.uk/frame_pages/frame_9846.html","https://www.flying-scot.com/frame_pages/frame_9846.html"
"http://www.flying-scot.co.uk/rattray/scot_frames/pages/frame_274b.html","https://www.flying-scot.com/frame_pages/frame_274b.htm"
"http://www.flying-scot.co.uk/rattray/scot_frames/pages/frame_33b.html","https://www.flying-scot.com/frame_pages/frame_33b.html"
"http://www.flying-scot.co.uk/","https://www.flying-scot.com/"
"http://www.dalescycles.com/discus/DCForumID14/79.html","https://web.archive.org/web/20040706053703/http://www.dalescycles.com/discus/DCForumID14/79.html"
"http://www.wolfenet.com/~josh/","https://www.phred.org/~josh/"
"http://cyclart.com/","https://web.archive.org/web/20120504145512/http://cyclart.com/"
"http://www.CyclArt.com/","https://web.archive.org/web/20120504145512/http://cyclart.com/"
"http://www.cyclesdeoro.com/kitch_BBurt_TT.htm","http://www.classicrendezvous.com/British_isles/Kitching_ron/kitch_BBurt_TT.htm"
"http://tc-homes.com/bike/beryl.htm","https://web.archive.org/web/20010507081450/http://tc-homes.com/bike/beryl.htm"
"http://www.yorksdc.freeserve.co.uk/bburton.html","https://web.archive.org/web/20010809122402/http://www.yorksdc.freeserve.co.uk/bburton.html"
"http://www.writetools.com/women/stories/burton_beryl.html","https://web.archive.org/web/20020413231859/http://www.writetools.com/women/stories/burton_beryl.html"
"http://falck.it/eng/chisiamo_storia.shtml","https://web.archive.org/web/20080311022207/https://falck.it/eng/chisiamo_storia.shtml"
"http://www.newsoftheweird.com/","https://www.uexpress.com/oddities/news-of-the-weird/2006/05/14"
"http://www.velostuf.com/1972masi.htm","https://web.archive.org/web/20030801140719/https://www.velostuf.com/1972masi.htm"
"http://www.velostuf.com/'72masi.htm","https://web.archive.org/web/20030801140719/https://www.velostuf.com/1972masi.htm"
"http://www.velostuf.com/dscn2563.jpg","https://web.archive.org/web/20041209073327/http://www.velostuf.com/dscn2563.jpg"
# defunct bike shops
"http://www.oldtowncyclery.com/","https://web.archive.org/web/20010926143630/http://www.oldtowncyclery.com/"
# Old Vintage Bike Website
"http://www.thepetweb.com/vbs/","https://web.archive.org/web/20010425174026/http://www.thepetweb.com/vbs/"
